A,B,C,G,R,X6,X8,Class
8,1003.95,919.69,52.65,1160,53.9655,0.3202,A
8,1009.31,929.69,52.65,1873,34.9706,0.3185,A
6,1032.25,929.69,54.07,1029,53.45,0.1435,A
7,1054.26,959.68,52.19,1837,56.7774,0.2919,A
7,1041.19,959.68,52.19,2155,62.181000000000004,0.2955,A
7,1073.49,979.67,51.74,1013,80.4541,0.2866,A
8,1055.03,939.69,51.74,769,62.6788,0.2917,A
7,1027.06,879.71,54.07,1792,63.7835,0.2885,A
6,968.99,789.74,54.07,1513,44.8116,0.1423,A
6,943.35,789.74,56.09,2114,46.7833,0.318,A
8,1027.81,909.7,54.07,1244,82.5563,0.3243,A
7,1056.19,969.68,53.59,656,72.4085,0.2549,A
7,1052.24,969.68,53.59,1251,40.4476,0.3168,A
7,1040.02,949.68,54.56,837,68.8172,0.3205,A
7,1054.26,949.68,52.19,1490,61.2752,0.2919,A
7,1051.13,969.68,52.19,1235,68.9069,0.2819,A
6,1073.87,969.68,50.02,1287,62.7817,0.1791,A
5,1070.03,949.68,50.02,1021,67.4829,0.3235,A
6,990.03,759.75,53.59,4009,23.2477,0.3247,A
7,925.02,759.75,55.06,3593,33.4818,0.1441,A
7,879.71,799.73,58.27,2236,32.0215,0.2131,A
7,920.69,799.73,56.09,2411,27.3745,0.2896,A
5,1001.09,879.71,54.56,1497,39.7462,0.3211,A
8,1028.94,959.68,52.65,1098,40.8015,0.3471,A
7,1035.58,939.69,52.65,1247,39.5349,0.1431,A
9,1017.44,909.7,54.07,1535,36.7427,0.2912,B
8,989.31,889.7,54.56,881,68.2179,0.3249,B
8,1015.38,889.7,54.56,867,89.15799999999999,0.2814,B
9,1038.17,979.67,54.56,712,83.1461,0.3211,B
8,1031.88,929.69,52.19,1346,42.422,0.2872,B
7,1028.18,919.69,52.19,1689,60.1539,0.2882,B
5,990.74,909.7,55.06,1192,77.6846,0.2884,B
7,952.1,769.74,55.06,2080,42.9808,0.2898,B
7,798.88,659.78,58.27,3074,17.9896,0.1788,B
9,811.44,659.78,60.02,1081,41.6281,0.1408,B
7,991.1,869.71,52.19,1592,47.1734,0.2883,B
7,1060.8,949.68,52.19,2660,53.4962,0.2538,B
8,1044.84,939.69,52.65,1562,73.5595,0.2481,B
8,1002.88,879.71,54.56,2728,26.0997,0.3205,B
8,1015.02,879.71,54.56,2103,23.0147,0.2815,B
8,1024.47,929.69,54.56,1283,54.8714,0.3254,B
7,1025.58,929.69,51.74,1347,61.8411,0.2889,B
6,1032.35,939.69,55.57,569,42.8822,0.3353,B
7,1029.29,949.68,55.06,710,74.2254,0.3239,B
7,1011.81,939.69,55.06,1308,90.4434,0.3177,B
7,1022.16,939.69,54.56,962,85.8628,0.3145,B
7,1019.66,919.69,54.56,921,82.9533,0.3152,B
8,1037.73,919.69,50.86,1911,57.7708,0.2965,B
8,1071.18,959.68,52.65,1839,82.1642,0.1795,B
8,1039.28,919.69,52.65,2050,68.6829,0.1782,B
7,1021.8,919.69,53.59,1820,88.4066,0.2796,B
5,986.34,729.76,53.59,2493,90.4533,0.3004,B
10,982.67,639.79,39.75,24259,62.3727,0.1018,B
8,1027.75,779.74,39.75,41453,58.0802,0.139,B
6,1020.73,909.7,54.56,1616,66.0272,0.2799,B
7,1040.76,949.68,53.12,1380,69.7826,0.2847,B
7,1056.57,949.68,53.12,1120,59.1071,0.2912,B
6,1081.95,979.67,51.74,1152,82.9861,0.2844,B
7,1077.33,989.67,51.74,1219,82.0345,0.2856,B
6,1045.42,949.68,53.59,1393,70.4235,0.2943,B
6,1026.69,949.68,55.06,1375,86.7636,0.2886,B
8,1000.02,799.73,55.57,2463,76.4109,0.1429,B
8,992.88,799.73,55.06,2043,86.7841,0.1439,B
7,975.54,879.71,55.06,1129,79.9823,0.3181,B
7,1002.26,879.71,54.56,1536,70.5729,0.2956,B
7,1032.99,939.69,53.59,1843,64.7314,0.2868,B
8,1025.37,939.69,53.59,1000,82.3,0.2786,B
8,1015.22,919.69,55.06,583,31.9039,0.3283,B
8,998.93,919.69,55.06,853,75.1465,0.2966,B
7,977.26,829.72,56.62,1644,57.5426,0.2823,B
7,955.89,829.72,58.27,1375,78.9091,0.1443,B
6,951.02,889.7,59.43,743,91.1171,0.2804,B
6,950.03,889.7,58.27,713,72.0898,0.2904,B
7,962.44,899.7,58.27,899,67.6307,0.2866,B
7,970.71,889.7,58.27,1013,95.8539,0.2842,B
8,968.3,919.69,57.71,694,90.634,0.3205,B
8,962.44,869.71,57.71,1154,64.2981,0.3225,B
7,958.65,869.71,57.71,943,68.5048,0.2878,B
8,939.69,859.71,57.16,1231,67.9935,0.2838,B
7,950.35,859.71,57.16,1647,60.9593,0.2806,B
7,970.71,879.71,57.71,1368,62.2076,0.2842,B
5,993.6,879.71,54.07,1637,53.5125,0.2876,B
7,979.33,829.72,54.07,2194,31.4494,0.2113,B
6,987.6,859.71,56.09,1241,70.3465,0.3142,B
5,1024.47,949.68,55.57,1023,84.1642,0.2892,B
7,1026.69,899.7,55.06,1636,74.3276,0.2886,B
7,1030.03,899.7,54.07,1306,65.6968,0.2877,A
7,1049.27,989.67,54.07,492,71.3415,0.3299,A
7,1010.73,799.73,54.07,3980,31.1055,0.212,A
6,984.31,799.73,54.07,2927,52.4086,0.2177,A
5,993.95,889.7,56.09,728,47.8022,0.2875,A
6,1006.81,889.7,54.07,342,21.345,0.1774,A
5,1017.87,929.69,55.57,1015,80.5911,0.2807,A
6,1035.95,929.69,54.56,1094,79.3419,0.28600000000000003,A
7,1021.14,909.7,54.56,815,58.6503,0.2176,A
6,979.67,909.7,57.16,1028,78.7938,0.2917,A
7,977.26,909.7,57.16,954,86.5828,0.2823,A
7,988.96,759.75,52.19,3893,55.8181,0.325,A
8,1055.8,759.75,50.86,3199,67.9587,0.2914,A
9,1013.59,809.73,50.86,4055,74.7719,0.1409,A
7,965.01,809.73,53.12,3544,63.2901,0.3109,A
7,955.2,829.72,57.16,1576,39.9112,0.3249,A
7,940.03,399.87,53.12,9954,68.8467,0.1834,B
8,941.02,399.87,53.12,9442,78.172,0.2125,B
7,955.35,879.71,56.62,1146,53.8394,0.314,B
10,980.36,859.71,54.56,1928,48.3402,0.2462,B
7,1029.66,879.71,52.65,1064,71.8045,0.1439,B
9,1069.64,1009.66,52.65,716,55.3073,0.2157,B
8,1079.26,1009.66,53.12,651,84.639,0.3207,B
8,1063.11,899.7,52.19,1565,71.8211,0.3256,B
8,1068.87,899.7,51.3,1818,64.6865,0.2879,B
7,1053.88,859.71,51.3,2912,49.9313,0.146,B
7,1050.42,859.71,52.19,2751,49.4366,0.1465,B
7,1094.63,999.67,51.74,794,69.7733,0.2811,B
8,1126.02,1029.66,44.46,2033,56.2715,0.2487,B
6,1132.12,1039.65,50.44,937,57.9509,0.2576,B
7,1123.23,1049.65,50.44,646,64.5511,0.1425,B
8,1047.43,799.73,52.19,3670,27.2207,0.2829,B
6,1015.22,799.73,52.65,2840,47.4296,0.1459,B
7,1046.57,949.68,51.3,1166,62.4357,0.2573,B
8,1090.41,1019.66,49.6,1312,51.6006,0.2116,B
9,984.84,779.74,49.6,2415,40.7867,0.1401,B
9,865.96,779.74,57.16,1331,31.4801,0.2165,B
7,890.33,379.87,54.07,9345,85.9069,0.1755,B
8,990.03,379.87,50.86,11228,92.4653,0.2886,B
7,1064.26,899.7,50.86,2461,66.0301,0.1807,B
8,972.09,779.74,54.07,4388,53.4868,0.2483,B
9,938.02,779.74,54.07,3177,71.0104,0.2488,B
8,964.16,809.73,56.09,1893,34.4955,0.2146,B
9,911.36,779.74,58.27,1795,36.0446,0.1829,B
7,942.02,779.74,56.09,2217,30.4465,0.1769,B
7,1000.38,819.73,53.59,2613,54.8412,0.2142,B
7,1061.57,689.77,43.81,8166,62.3684,0.1812,B
8,954.68,689.77,43.81,11262,60.9217,0.1397,B
9,812.59,659.78,53.59,2300,32.9565,0.1406,B
8,850.02,659.78,58.27,3045,50.3448,0.2139,B
7,995.22,799.73,48.8,3215,67.9627,0.2233,B
7,1056.19,889.7,48.8,2801,32.7026,0.1457,B
7,975.19,659.78,44.46,4383,64.1798,0.1414,B
9,956.01,429.86,44.46,10002,95.6809,0.3138,B
10,1029.66,909.7,48.02,4230,40.3783,0.2518,B
9,1068.04,959.68,48.02,4061,26.1512,0.2247,B
7,1066.57,949.68,48.4,3766,33.2183,0.1442,B
7,1035.21,899.7,49.2,3143,49.825,0.1431,B
10,1056.96,909.7,47.26,3990,44.1855,0.182,B
8,1115.63,959.68,47.26,3130,84.37700000000001,0.2151,B
9,1133.37,949.68,45.82,3413,80.6622,0.1471,B
7,1144.42,949.68,45.82,2707,73.0698,0.2796,B
9,1011.14,799.73,48.4,3155,78.225,0.1832,B
9,942.02,799.73,55.57,2974,47.1419,0.2123,B
9,965.54,349.88,50.86,8047,73.021,0.1429,B
10,1028.92,939.69,50.02,2656,49.2846,0.18,B
9,971.74,809.73,50.02,2296,19.9913,0.1774,B
9,940.38,809.73,56.09,1073,24.8835,0.2934,B
9,954.85,489.84,55.06,7141,59.0113,0.2167,B
9,1010.38,489.84,51.3,6070,77.0016,0.1414,B
7,1121.23,1009.66,47.63,2056,53.0156,0.2854,B
9,998.95,339.89,47.63,18349,73.0667,0.28600000000000003,B
9,976.92,339.89,50.44,13939,65.1338,0.2471,B
7,1062.72,969.68,46.89,1343,62.8444,0.2172,B
7,1068.49,649.78,38.97,19100,87.5497,0.21600000000000003,B
7,1075.41,649.78,38.97,16193,81.0721,0.2861,B
6,1098.43,1029.66,51.74,464,54.3103,0.2913,B
7,1049.65,879.71,52.19,1316,40.3495,0.1466,B
10,967.95,339.89,48.02,14356,78.6849,0.3206,B
11,963.13,339.89,53.59,9389,74.108,0.3222,B
9,963.82,889.7,57.16,685,52.9927,0.322,B
8,925.82,849.72,60.63,1076,34.5725,0.2787,B
8,954.02,849.72,56.62,1287,62.7817,0.3145,B
7,1010.38,949.68,51.3,1267,52.8019,0.2121,B
8,1015.59,959.68,51.3,1203,61.0141,0.1459,B
8,990.38,929.69,55.57,287,68.2927,0.2885,B
8,1016.8,929.69,48.02,2820,41.8085,0.1756,B
7,1018.95,449.85,48.02,13629,69.5135,0.1402,B
6,1056.96,869.71,39.23,8374,66.3363,0.2183,B
9,1108.03,869.71,39.23,10418,72.9411,0.1805,B
11,1092.84,979.67,48.4,4272,65.824,0.183,B
9,1078.1,989.67,48.4,3100,59.6452,0.1427,B
7,1104.03,989.67,49.2,3088,71.7293,0.2899,B
7,1091.24,999.67,49.2,2708,65.3619,0.2199,B
8,1069.27,849.72,46.89,3656,47.8392,0.1386,B
8,996.81,769.74,46.89,6203,54.4414,0.2508,B
7,938.72,689.77,52.19,3706,34.2418,0.1375,B
7,968.64,689.77,55.06,2726,63.2062,0.1424,B
7,997.52,899.7,54.07,986,47.0588,0.358,B
9,966.23,899.7,57.71,840,70.9524,0.2855,B
9,939.69,789.74,58.27,1446,30.4288,0.2936,B
9,930.36,789.74,58.27,2324,33.9071,0.1433,B
10,963.47,839.72,56.62,1979,42.951,0.1432,B
10,961.35,839.72,56.62,1693,34.7903,0.3467,B
7,883.9,759.75,58.27,1678,52.5626,0.292,B
6,882.21,759.75,61.24,1141,55.0394,0.3188,B
6,897.2,809.73,61.24,1477,36.8991,0.3483,B
6,882.83,809.73,59.43,1646,40.2187,0.2832,B
7,879.39,799.73,61.24,1390,28.705,0.3554,B
8,804.18,579.81,59.43,3399,15.1515,0.1727,B
12,737.91,579.81,61.24,3949,33.7301,0.1427,B
8,728.26,589.8,62.52,4132,14.908,0.1373,B
8,700.01,449.85,63.85,2282,38.1245,0.3484,B
10,733.35,449.85,63.85,2463,52.497,0.1748,B
12,823.15,469.84,52.19,7704,71.7679,0.2083,B
14,876.27,739.75,52.19,4351,45.5527,0.1783,B
9,833.55,739.75,53.59,3789,40.9607,0.2117,B
8,892.37,749.75,53.59,4915,33.7335,0.2988,B
10,976.57,819.73,50.02,2427,66.6255,0.3531,B
10,987.17,839.72,50.02,3977,54.2369,0.3256,B
10,1014.48,839.72,53.12,1920,47.6042,0.2191,B
9,1043.36,959.68,53.12,1210,82.1488,0.3195,B
8,988.64,859.71,54.56,1735,55.1585,0.3139,B
7,916.69,769.74,55.57,2587,66.5249,0.2909,B
7,958.99,769.74,54.07,3377,34.1427,0.2517,B
7,1034.84,919.69,52.65,1501,77.1486,0.1432,B
8,1068.49,919.69,50.44,1952,73.207,0.324,B
8,1054.83,979.67,50.44,977,79.6315,0.2107,B
7,992.08,799.73,53.12,2095,37.4702,0.2086,B
7,966.23,799.73,56.09,2355,41.0191,0.1428,B
8,991.1,829.72,55.06,2142,66.9001,0.1441,B
8,1006.33,829.72,53.12,1578,66.4766,0.1472,B
9,1027.44,889.7,53.12,1350,57.1111,0.3244,B
10,1038.17,959.68,54.07,1036,82.4324,0.3211,A
10,1045.21,949.68,53.59,746,67.6944,0.3544,A
9,1040.39,949.68,52.65,1065,48.6385,0.35600000000000004,A
9,943.13,769.74,54.56,2471,26.8312,0.2925,A
7,864.56,769.74,54.56,1828,39.8796,0.2103,A
7,890.64,779.74,57.16,2569,55.8972,0.3158,A
9,977.26,859.71,55.57,1825,80.2192,0.3176,A
9,1000.38,899.7,55.57,1448,84.3232,0.3213,A
8,1013.23,909.7,53.12,1680,73.2738,0.3172,A
9,1015.02,909.7,53.12,1364,53.2258,0.3167,A
9,930.02,769.74,55.57,2941,41.9925,0.2509,A
9,894.86,769.74,57.16,1839,52.5285,0.1442,A
8,982.53,789.74,54.07,3109,62.68899999999999,0.3272,A
7,1037.06,959.68,52.65,1090,79.5413,0.3571,A
7,1057.43,969.68,52.65,733,86.3574,0.3503,A
8,1082.33,1009.66,51.74,840,78.2143,0.3198,A
9,1063.49,949.68,51.74,1417,77.2054,0.3255,A
9,966.57,759.75,53.59,3084,34.2412,0.3211,A
9,896.8,759.75,55.06,2201,37.0286,0.1439,A
9,848.81,709.76,61.88,1340,54.5522,0.3213,A
9,744.11,639.79,66.69,1956,17.3824,0.1723,A
11,701.77,629.79,64.54,1714,40.6068,0.1781,A
11,773.08,629.79,64.54,2481,41.3543,0.1797,A
9,863.35,419.86,54.07,8729,59.5372,0.3159,A
8,972.78,419.86,54.07,6762,74.96300000000001,0.2836,A
8,1046.96,949.68,53.59,1253,66.7199,0.2939,A
7,1052.34,949.68,51.3,2179,60.7618,0.2558,A
7,1062.72,959.68,51.3,1713,68.0677,0.2895,A
8,1066.57,969.68,52.65,1115,86.009,0.2885,A
8,1075.03,979.67,52.19,1169,79.0419,0.2862,A
7,1041.96,919.69,53.59,1406,82.7881,0.2584,A
6,1054.65,919.69,51.3,1657,69.5836,0.2918,A
6,1057.8,889.7,51.3,2047,83.3415,0.2801,A
7,1042.25,889.7,52.65,1461,87.4059,0.2843,A
7,1050.03,929.69,53.12,1112,85.7014,0.293,A
8,1059.26,919.69,50.02,1989,62.1418,0.2542,A
7,1010.73,909.7,53.12,1614,52.6022,0.2827,A
7,971.4,879.71,56.62,1300,72.4615,0.3195,A
6,984.67,879.71,56.62,1088,81.7096,0.2902,A
8,996.1,899.7,56.62,1514,74.5046,0.2868,A
7,1013.23,899.7,54.56,1956,78.2209,0.3172,A
6,1024.1,919.69,54.07,2389,66.262,0.2532,A
7,1011.51,929.69,54.07,1935,81.9638,0.2929,A
8,1007.07,929.69,54.07,1362,81.0573,0.2942,A
7,1032.62,949.68,54.07,1198,95.2421,0.2869,A
8,1054.46,959.68,52.65,2062,82.2987,0.281,A
6,1057.43,949.68,51.3,3036,79.1831,0.2802,A
6,1076.04,949.68,50.86,1991,88.5987,0.2602,A
8,1065.03,939.69,51.74,1585,74.0694,0.2528,A
7,1049.65,939.69,51.74,1943,70.5095,0.2565,A
8,1054.26,949.68,53.12,1741,66.2263,0.2554,A
6,1050.39,679.77,51.3,5056,70.0949,0.2468,A
8,1011.81,679.77,51.3,6179,52.3709,0.2471,A
8,1005.02,799.73,54.56,1511,48.1138,0.2132,A
6,1036.32,939.69,52.65,1206,35.9038,0.2144,A
7,987.17,419.86,52.65,8233,57.5003,0.3618,A
9,950.03,419.86,56.09,8816,61.5812,0.3267,A
8,1000.02,869.71,55.57,1764,72.5624,0.2857,A
7,969.33,499.83,55.57,7824,65.3758,0.249,A
8,1006.81,839.72,52.19,2232,52.733000000000004,0.3193,A
9,985.03,419.86,52.19,9496,80.0442,0.3263,A
7,1001.09,419.86,53.12,9080,87.4009,0.3211,A
9,964.68,819.73,53.12,3591,46.6444,0.2073,A
8,909.03,759.75,55.57,4122,52.8384,0.1834,A
6,979.67,759.75,55.57,3852,46.9107,0.2112,B
8,953.02,809.73,56.09,2427,68.8916,0.2798,B
7,967.53,809.73,54.07,1826,59.31,0.1477,B
8,988.6,859.71,54.07,3260,41.4724,0.1445,B
8,979.67,829.72,54.56,3254,53.4726,0.2464,B
7,1002.17,829.72,54.56,2230,86.3677,0.2495,B
9,977.53,869.71,55.06,1361,62.3071,0.2923,B
9,949.35,739.75,55.06,2608,58.3972,0.2809,B
7,881.27,709.76,55.57,3288,40.7847,0.2482,B
8,884.08,709.76,55.57,5432,18.2437,0.2121,B
8,961.35,799.73,53.59,5313,45.4734,0.1387,B
9,950.35,729.76,53.59,5320,40.094,0.2455,B
8,922.03,729.76,54.56,3380,49.2308,0.2531,B
9,1020.4,869.71,47.26,3483,74.0454,0.2541,B
10,984.67,569.81,46.17,13070,75.3711,0.2902,B
8,956.58,569.81,46.17,7480,96.3503,0.2884,B
8,964.85,879.71,55.06,524,81.1069,0.2859,B
8,915.03,859.71,60.02,453,64.2384,0.3279,B
8,938.02,859.71,59.43,876,81.2785,0.3198,B
10,826.3,379.87,59.43,5785,67.191,0.1383,B
9,725.14,379.87,61.88,5699,57.0275,0.1414,B
8,785.02,569.81,61.88,6360,25.0157,0.1415,B
8,820.61,729.76,63.85,1928,33.9212,0.1434,B
9,773.26,629.79,63.85,1504,35.5053,0.1398,B
9,787.24,369.88,38.23,19105,64.7213,0.3529,B
9,728.99,369.88,38.23,20534,74.0479,0.3166,B
12,636.23,519.83,50.44,7428,68.0264,0.2096,B
12,626.53,519.83,49.2,13487,71.5875,0.2082,B
8,568.61,499.83,49.2,8011,64.34899999999999,0.2814,B
9,553.28,499.83,75.97,1785,18.0952,0.139,B
11,593.76,499.83,57.16,5542,52.2014,0.2456,B
13,688.34,349.88,49.6,13715,54.0576,0.3459,B
11,741.33,349.88,46.17,21579,60.8647,0.3195,B
9,687.33,629.79,46.17,8447,69.0304,0.2839,B
10,698.06,359.88,58.27,5071,49.5957,0.3145,B
9,738.47,359.88,58.27,4965,41.0473,0.3472,B
7,732.83,659.78,73.2,982,28.6151,0.2799,B
12,744.62,629.79,45.82,9083,67.0483,0.3099,B
13,722.58,609.8,43.81,10149,67.2677,0.1419,B
10,676.44,569.81,43.81,14929,53.1114,0.1408,B
8,699.28,569.81,61.24,3079,29.3277,0.1395,B
9,738.67,589.8,62.52,4253,29.9083,0.3293,B
8,780.04,489.84,38.47,20685,58.0614,0.2331,B
10,914.87,489.84,38.47,23286,88.229,0.1508,B
8,1049.65,949.68,49.2,1419,65.2572,0.1764,B
7,1067.72,969.68,48.02,1698,48.351000000000006,0.3242,B
9,1100.03,979.67,48.02,1189,70.8158,0.2545,B
8,1148.78,1109.63,49.2,595,71.2605,0.3264,B
7,1149.2,1099.63,49.2,541,55.6377,0.3263,B
6,1149.2,1099.63,49.6,201,63.6816,0.2901,B
7,1002.26,379.87,51.3,8777,67.768,0.1848,B
7,993.95,379.87,51.74,9643,69.3042,0.1797,B
8,1094.63,539.82,50.44,1301,61.2606,0.3514,B
7,1077.72,539.82,50.44,11437,66.9494,0.3569,B
7,1115.23,949.68,50.86,1273,63.3936,0.2869,B
7,1129.62,1039.65,50.44,516,56.7829,0.332,B
7,1063.88,819.73,50.44,3583,38.2361,0.2892,B
7,926.47,739.75,52.65,4271,54.8349,0.2089,B
8,957.27,739.75,51.74,2540,78.0315,0.2522,B
7,1066.95,979.67,51.74,857,85.4142,0.3605,B
7,1048.11,989.67,51.74,640,33.2812,0.2202,B
6,1052.34,989.67,52.65,500,64.0,0.1827,B
6,1065.8,979.67,52.19,768,70.3125,0.3248,B
6,1083.87,979.67,51.74,769,55.3966,0.3549,B
7,1108.83,1009.66,51.74,669,53.0643,0.3608,B
7,1127.12,1059.65,49.6,478,45.6067,0.1479,B
7,1126.02,1059.65,49.6,369,57.1816,0.3197,B
6,1107.63,1039.65,52.19,428,73.1308,0.3611,B
7,1095.23,979.67,52.19,553,92.4051,0.3287,B
8,1093.24,979.67,51.3,969,96.2848,0.2927,B
8,1103.23,1029.66,48.4,1379,69.108,0.3263,B
10,1122.03,1029.66,48.4,787,77.2554,0.3565,B
8,1035.73,729.76,50.86,4459,36.0395,0.1379,B
7,884.54,669.78,40.28,6159,44.9424,0.2188,B
8,909.7,669.78,40.28,9793,67.9771,0.2482,B
8,965.2,849.72,51.74,3387,44.4346,0.2501,B
8,1045.95,869.71,51.3,4014,40.8819,0.1416,B
7,1094.04,899.7,50.86,1377,76.2527,0.1828,B
8,1058.11,849.72,46.53,6387,40.0971,0.2181,B
7,1015.38,849.72,52.19,4786,17.9482,0.1407,B
8,1021.51,859.71,52.19,2896,47.6519,0.1813,B
8,1036.96,859.71,52.65,2798,52.608999999999995,0.1484,B
8,1068.87,899.7,48.8,4177,63.6581,0.1439,B
8,1064.26,599.8,48.8,5799,57.3547,0.253,B
8,1015.38,599.8,51.3,5730,59.8429,0.21100000000000002,B
8,984.67,849.72,55.06,2451,36.1077,0.2539,B
8,980.39,849.72,56.09,2334,44.9015,0.1821,B
9,1006.09,849.72,53.59,2747,57.7721,0.142,B
9,1050.8,849.72,49.6,5530,39.132,0.1464,B
8,1039.28,889.7,50.44,1984,64.2641,0.3207,B
9,1045.58,889.7,53.59,1482,91.5655,0.3188,B
9,1058.88,989.67,53.12,887,81.6234,0.3269,B
7,1062.72,989.67,53.12,956,79.4979,0.3257,B
8,1063.88,979.67,52.65,1224,69.3627,0.3254,A
7,1041.87,929.69,52.65,905,64.9724,0.1422,A
6,1015.02,919.69,55.06,1004,58.9641,0.3519,A
7,990.38,799.73,55.06,2351,30.8379,0.3606,A
6,976.46,799.73,56.09,1956,30.2658,0.3292,A
7,990.74,929.69,57.16,658,84.4985,0.3244,A
9,977.95,809.73,55.57,2961,60.1824,0.3173,A
8,988.98,809.73,52.65,2783,81.6026,0.1395,B
8,1042.25,889.7,52.65,1461,57.2211,0.3198,B
8,1056.19,929.69,54.07,678,65.9292,0.3277,B
6,1007.81,839.72,53.59,1354,58.1979,0.1838,B
5,1005.38,839.72,53.59,1838,47.4973,0.2131,B
8,1059.65,949.68,50.44,2193,43.0461,0.1748,B
7,1055.8,939.69,50.44,2220,58.9189,0.1457,B
8,1040.39,889.7,51.3,2483,77.4869,0.3204,B
9,1038.91,939.69,53.12,1365,67.033,0.3565,B
6,1034.1,949.68,54.07,1022,75.8317,0.3582,B
7,1000.38,789.74,53.12,3816,48.218,0.2142,B
7,975.75,789.74,53.12,3634,29.1139,0.2196,B
9,978.29,889.7,57.16,1082,83.8262,0.3172,B
6,972.43,799.73,53.12,3188,52.7604,0.1418,B
6,977.89,799.73,53.12,2407,44.4537,0.2557,B
8,927.43,729.76,51.3,7988,38.4577,0.1391,B
8,874.71,729.76,54.07,5479,50.6297,0.1786,B
8,957.61,809.73,53.12,4603,52.7265,0.3241,B
7,1046.32,869.71,51.3,3726,76.9189,0.2832,B
9,1056.19,939.69,51.3,2719,67.3409,0.2549,B
7,1065.41,939.69,50.44,3064,29.8629,0.2888,B
8,1041.13,669.78,40.55,13666,59.5858,0.3202,A
8,960.37,669.78,40.55,15894,58.8524,0.2513,A
7,965.88,819.73,45.47,4730,77.5687,0.2856,A
9,981.4,829.72,45.47,5180,75.0,0.3162,A
10,993.24,839.72,51.3,3444,64.3438,0.3236,A
8,1035.95,889.7,51.3,2615,62.4474,0.28600000000000003,A
7,1048.17,889.7,53.12,2251,55.4865,0.2827,A
8,1050.8,849.72,52.65,2411,61.9245,0.2562,A
8,1044.1,849.72,51.3,3329,42.8056,0.3193,A
8,1084.44,859.71,50.86,2684,84.4262,0.2582,A
8,1087.24,979.67,50.86,1761,82.3964,0.2943,A
8,1082.33,919.69,50.86,2545,73.7917,0.2843,A
6,1086.95,919.69,50.86,2175,71.1264,0.2831,A
7,1106.03,1019.66,50.86,1466,87.8581,0.2893,A
8,1048.88,479.84,48.8,9782,72.5516,0.33,A
8,1057.05,479.84,48.8,13247,86.4196,0.3153,A
8,1100.79,1029.66,50.44,1113,88.4996,0.3145,A
9,1096.43,1039.65,51.3,566,88.6926,0.3283,A
8,1095.79,1019.66,50.86,954,84.696,0.3159,A
9,1087.71,1019.66,50.86,994,81.5895,0.3182,A
8,991.81,759.75,50.44,5447,26.4916,0.2881,A
8,915.18,759.75,50.44,7286,38.3612,0.2115,A
8,972.89,769.74,49.6,3110,59.1318,0.2203,A
8,1090.02,939.69,48.8,2126,94.1204,0.1764,A
10,1113.23,979.67,48.8,3085,89.8865,0.3234,A
9,1124.82,969.68,48.8,3294,60.3825,0.2489,A
9,1115.23,879.71,48.02,4986,64.4003,0.2511,A
8,1112.13,879.71,48.02,3590,83.0919,0.2623,A
6,1098.03,989.67,50.86,1275,53.3333,0.3279,A
8,1114.43,989.67,49.2,1304,73.9264,0.1436,A
6,1043.73,819.73,49.2,2219,49.6169,0.2129,A
5,1027.44,819.73,50.02,2662,42.4869,0.2884,A
7,1127.22,999.67,50.02,2367,55.7668,0.2839,A
5,1134.42,999.67,50.02,1355,65.3875,0.1763,A
8,1139.62,1059.65,50.44,709,86.1777,0.3291,A
9,1133.79,1059.65,49.6,920,81.1957,0.3308,A
9,1145.87,1069.64,49.6,1042,81.286,0.3273,A
7,1140.87,1029.66,50.02,897,69.7882,0.2922,A
7,1139.62,1029.66,50.02,1128,80.1418,0.2925,A
8,1147.12,1059.65,49.2,909,81.6282,0.2906,A
6,1176.13,1089.64,48.4,613,75.367,0.3327,A
5,1182.11,1079.64,48.4,960,69.4792,0.3525,A
6,1134.21,909.7,48.4,2384,69.2953,0.147,A
9,1121.23,909.7,48.4,3444,49.7967,0.2854,A
7,1149.2,1019.66,47.26,2091,66.3319,0.3263,A
6,1173.96,1079.64,47.26,1370,90.8029,0.2593,A
6,1162.53,1079.64,49.2,1314,87.5951,0.2151,A
5,1166.28,1079.64,48.02,1504,87.8324,0.2858,A
5,1121.63,959.68,49.2,1426,81.6269,0.1783,A
6,1037.43,849.72,50.44,8012,35.5467,0.2499,A
8,1094.04,849.72,45.82,5559,48.7318,0.2194,A
7,1183.52,999.67,45.82,2317,86.9659,0.2939,A
7,1140.04,869.71,47.26,4597,74.2658,0.1462,A
6,1181.35,979.67,46.89,2172,68.3702,0.184,A
7,1163.96,1069.64,46.89,2137,76.7899,0.2615,A
8,1133.22,1009.66,48.8,1871,76.2159,0.2824,A
7,1123.63,999.67,49.2,2013,94.1878,0.2848,A
7,1122.13,999.67,50.86,1297,86.6615,0.2971,A
9,1133.22,1039.65,50.86,1576,86.4848,0.2824,A
10,1126.42,899.7,49.2,3800,70.5263,0.2131,A
9,1105.23,859.71,48.8,6528,41.9424,0.2533,A
6,1110.83,859.71,48.8,6365,48.1068,0.2521,A
6,1177.87,949.68,48.02,876,87.8995,0.2215,A
8,1124.62,469.84,47.63,15536,77.6004,0.2964,A
7,1086.56,469.84,47.63,13070,84.6442,0.2832,A
7,1126.42,949.68,48.4,2718,89.404,0.2486,A
7,1086.04,949.68,46.89,4109,85.3979,0.1473,A
5,1072.72,949.68,46.89,3376,93.8389,0.2868,A
8,1115.88,1019.66,50.02,1391,92.8109,0.2987,A
